episode,score,max_tile,time
1,520,6,0.006894111633300781
2,836,6,0.016477346420288086
3,1476,7,0.03126716613769531
4,612,6,0.03925824165344238
5,1460,7,0.05376410484313965
6,2904,8,0.07672548294067383
7,728,6,0.08595132827758789
8,1388,7,0.09938836097717285
9,2500,8,0.12043428421020508
10,1368,7,0.13412022590637207
11,692,6,0.14289212226867676
12,1916,8,0.1575181484222412
13,972,7,0.16730237007141113
14,616,6,0.17503833770751953
15,456,5,0.18166708946228027
16,1404,7,0.19573521614074707
17,1332,7,0.20876121520996094
18,1468,7,0.22366023063659668
19,1292,7,0.23629117012023926
20,1140,7,0.24814939498901367
21,688,6,0.256763219833374
22,2860,8,0.27947020530700684
23,672,6,0.2879612445831299
24,700,6,0.2967712879180908
25,732,6,0.30551910400390625
26,680,6,0.31403017044067383
27,2292,8,0.3325512409210205
28,988,7,0.3424232006072998
29,1408,7,0.35680413246154785
30,652,6,0.36509108543395996
31,1460,7,0.3796653747558594
32,912,6,0.3904733657836914
33,1488,7,0.40552234649658203
34,616,6,0.41364526748657227
35,1116,7,0.4255533218383789
36,624,6,0.43360328674316406
37,1348,7,0.4470503330230713
38,1084,7,0.458282470703125
39,960,6,0.46924424171447754
40,1388,7,0.4833850860595703
41,1468,7,0.49712419509887695
42,1000,7,0.5071942806243896
43,440,5,0.5137913227081299
44,932,6,0.5247912406921387
45,240,5,0.5293660163879395
46,1096,7,0.5407052040100098
47,400,5,0.5468311309814453
48,944,6,0.5579020977020264
49,2304,8,0.5796012878417969
50,836,6,0.5918693542480469
51,888,6,0.6035752296447754
52,316,5,0.608992338180542
53,1208,7,0.6214442253112793
54,1192,7,0.6332962512969971
55,1216,7,0.6456282138824463
56,652,6,0.6539812088012695
57,1536,7,0.6690692901611328
58,448,6,0.6752581596374512
59,648,6,0.6834602355957031
60,780,6,0.6927144527435303
61,896,6,0.7034032344818115
62,2044,7,0.7215790748596191
63,3088,8,0.7458503246307373
64,1000,7,0.7559492588043213
65,1028,7,0.7663002014160156
66,992,7,0.776252269744873
67,1108,7,0.7876672744750977
68,576,6,0.7952451705932617
69,1160,7,0.8070602416992188
70,404,6,0.8125643730163574
71,1360,7,0.8259613513946533
72,1148,7,0.8376402854919434
73,928,7,0.8475131988525391
74,580,6,0.8551270961761475
75,2100,8,0.8722553253173828
76,2252,8,0.8907923698425293
77,1612,7,0.9063711166381836
78,940,6,0.9174342155456543
79,968,7,0.9277212619781494
80,1324,7,0.9411242008209229
81,620,6,0.9493653774261475
82,612,6,0.9573371410369873
83,664,6,0.9655382633209229
84,752,6,0.9751973152160645
85,476,6,0.9818453788757324
86,880,6,0.992234468460083
87,612,6,1.0003414154052734
88,740,6,1.009554386138916
89,996,7,1.0193462371826172
90,668,6,1.0278592109680176
91,988,7,1.038093090057373
92,1328,7,1.0514702796936035
93,740,6,1.0610313415527344
94,712,6,1.0696742534637451
95,468,6,1.07600736618042
96,552,6,1.083357334136963
97,728,6,1.0918982028961182
98,1068,7,1.1028852462768555
99,584,6,1.1107852458953857
100,1112,7,1.1224021911621094
101,896,6,1.1326000690460205
102,596,6,1.1404180526733398
103,968,7,1.1506023406982422
104,1008,7,1.1607751846313477
105,988,7,1.1708462238311768
106,1460,7,1.1854252815246582
107,1372,7,1.1993231773376465
108,3052,8,1.2231380939483643
109,1284,7,1.2358462810516357
110,720,6,1.244138240814209
111,564,6,1.251751184463501
112,1272,7,1.2640001773834229
113,1488,7,1.2784392833709717
114,1420,7,1.2922072410583496
115,608,6,1.3000431060791016
116,1508,7,1.31453537940979
117,692,6,1.3235461711883545
118,1080,7,1.3349230289459229
119,628,6,1.343231439590454
120,616,6,1.3515663146972656
121,948,6,1.3623292446136475
122,608,6,1.370211124420166
123,1340,7,1.383667230606079
124,1028,7,1.3942692279815674
125,1276,7,1.4067232608795166
126,2552,8,1.4277713298797607
127,1184,7,1.4396111965179443
128,1228,7,1.4522202014923096
129,204,5,1.4563803672790527
130,320,5,1.4619550704956055
131,1120,7,1.4735212326049805
132,1348,7,1.4868674278259277
133,1188,7,1.4983391761779785
134,1148,7,1.5102832317352295
135,716,6,1.5191302299499512
136,688,6,1.5276904106140137
137,1432,7,1.542208194732666
138,848,6,1.5520472526550293
139,1036,7,1.5626554489135742
140,516,5,1.5701732635498047
141,568,6,1.578221082687378
142,316,5,1.5835413932800293
143,1044,7,1.5943222045898438
144,1384,7,1.6083734035491943
145,1432,7,1.6227121353149414
146,460,6,1.6291110515594482
147,720,6,1.638148307800293
148,1580,7,1.6533591747283936
149,544,6,1.6605653762817383
150,804,6,1.670128345489502
151,1080,7,1.6810863018035889
152,1216,7,1.6931862831115723
153,656,6,1.7016782760620117
154,344,5,1.707228183746338
155,1004,7,1.7177672386169434
156,572,6,1.7251992225646973
157,800,6,1.7355141639709473
158,1600,7,1.7508621215820312
159,580,6,1.758547306060791
160,2232,8,1.7769510746002197
161,1088,7,1.7890334129333496
162,1412,7,1.8028972148895264
163,1024,7,1.8133282661437988
164,1208,7,1.825024127960205
165,2284,8,1.8428521156311035
166,2384,8,1.862215280532837
167,1076,7,1.8731520175933838
168,268,5,1.8779692649841309
169,584,6,1.8856422901153564
170,1332,7,1.8984293937683105
171,1368,7,1.9123172760009766
172,1324,7,1.925795078277588
173,1292,7,1.9384844303131104
174,1328,7,1.951564073562622
175,1148,7,1.9633762836456299
176,2028,8,1.9794433116912842
177,580,6,1.986842155456543
178,572,6,1.9945192337036133
179,540,6,2.002040147781372
180,684,6,2.010775089263916
181,556,6,2.0178592205047607
182,480,6,2.0244810581207275
183,1256,7,2.037612199783325
184,1320,7,2.050567388534546
185,1284,7,2.063563108444214
186,1252,7,2.0760960578918457
187,1284,7,2.088801145553589
188,784,6,2.097830295562744
189,1388,7,2.111617088317871
190,464,6,2.118025302886963
191,1296,7,2.1312010288238525
192,1384,7,2.1446902751922607
193,368,5,2.150724172592163
194,1280,7,2.163403034210205
195,972,7,2.1736152172088623
196,772,6,2.1833384037017822
197,928,6,2.1940152645111084
198,988,6,2.2056503295898438
199,1052,7,2.216630220413208
200,1360,7,2.2302942276000977
201,1428,7,2.244323253631592
202,1396,7,2.258697271347046
203,2472,8,2.2844412326812744
204,1232,7,2.300546169281006
205,1592,7,2.322200298309326
206,1060,7,2.336278200149536
207,1124,7,2.3479151725769043
208,1272,7,2.3606863021850586
209,1276,7,2.373030185699463
210,1424,7,2.3875412940979004
211,1964,8,2.4037461280822754
212,1348,7,2.4172112941741943
213,1420,7,2.431445360183716
214,2080,8,2.4484610557556152
215,1364,7,2.4618582725524902
216,2496,8,2.4826881885528564
217,804,6,2.493007183074951
218,1320,7,2.5059452056884766
219,1412,7,2.5200860500335693
220,620,6,2.528240203857422
221,552,6,2.535614252090454
222,996,7,2.5458691120147705
223,1100,7,2.557054281234741
224,1532,7,2.5720043182373047
225,1584,7,2.5881080627441406
226,1756,7,2.604734420776367
227,1392,7,2.6185951232910156
228,648,6,2.62679123878479
229,1464,7,2.64172625541687
230,508,5,2.649081230163574
231,844,6,2.658865213394165
232,2352,8,2.6779613494873047
233,2380,8,2.6975362300872803
234,976,7,2.7071900367736816
235,1324,7,2.7203001976013184
236,984,7,2.730527400970459
237,880,7,2.7393672466278076
238,1308,7,2.75224232673645
239,1440,7,2.7667112350463867
240,676,6,2.7754812240600586
241,1456,7,2.7911791801452637
242,448,6,2.7975573539733887
243,1444,7,2.8119752407073975
244,608,6,2.819807291030884
245,1076,7,2.831597089767456
246,236,5,2.836275339126587
247,516,5,2.8438284397125244
248,500,6,2.8501992225646973
249,704,6,2.859147071838379
250,592,6,2.866974353790283
251,1336,7,2.880385160446167
252,780,6,2.8899192810058594
253,1100,7,2.901163101196289
254,1384,7,2.9150032997131348
255,2360,8,2.934281349182129
256,2376,8,2.953585386276245
257,1496,7,2.9682424068450928
258,280,5,2.9731740951538086
259,420,5,2.979680299758911
260,1348,7,2.9927382469177246
261,908,6,3.003192186355591
262,964,6,3.014496326446533
263,2060,8,3.0309534072875977
264,1048,7,3.0418052673339844
265,2176,8,3.0591862201690674
266,1764,7,3.07491135597229
267,1288,7,3.087254047393799
268,780,6,3.096940040588379
269,1144,7,3.10791015625
270,2436,8,3.127626419067383
271,584,6,3.1353352069854736
272,2116,8,3.151994228363037
273,712,6,3.1611812114715576
274,268,5,3.1661031246185303
275,1316,7,3.1790332794189453
276,904,6,3.189479351043701
277,1036,7,3.2003581523895264
278,508,6,3.2073731422424316
279,1256,7,3.219294309616089
280,1132,6,3.2315292358398438
281,1116,7,3.24312424659729
282,1528,7,3.2584922313690186
283,632,6,3.266916275024414
284,1296,7,3.2795112133026123
285,768,6,3.288992404937744
286,1704,7,3.3055872917175293
287,676,6,3.314054250717163
288,1540,7,3.328867197036743
289,740,6,3.337677240371704
290,860,6,3.3477041721343994
291,1212,7,3.359650135040283
292,752,6,3.3689961433410645
293,1120,7,3.380749225616455
294,1404,7,3.394613265991211
295,844,6,3.404494285583496
296,644,6,3.4127612113952637
297,1748,7,3.4299073219299316
298,712,6,3.438908338546753
299,708,6,3.448042392730713
300,716,6,3.456674098968506
301,696,6,3.4654321670532227
302,972,7,3.4748144149780273
303,1064,7,3.485666275024414
304,700,6,3.494107246398926
305,836,6,3.5036122798919678
306,1256,7,3.5166101455688477
307,688,6,3.5255823135375977
308,716,6,3.534848213195801
309,1208,7,3.546807050704956
310,2280,8,3.565608263015747
311,652,6,3.5737993717193604
312,544,6,3.5810160636901855
313,428,5,3.587902307510376
314,540,6,3.5949432849884033
315,756,6,3.6041383743286133
316,1976,8,3.619647264480591
317,584,6,3.6272220611572266
318,1000,7,3.637312173843384
319,1316,7,3.6502504348754883
320,2316,8,3.6690104007720947
321,1384,7,3.6830971240997314
322,1460,7,3.6980342864990234
323,1100,7,3.7099530696868896
324,908,6,3.720682382583618
325,740,6,3.7301383018493652
326,1420,7,3.744603157043457
327,1468,7,3.7594332695007324
328,1676,7,3.776228189468384
329,436,5,3.7831034660339355
330,268,5,3.7880303859710693
331,2960,8,3.811558246612549
332,1324,7,3.824711322784424
333,1080,7,3.8362932205200195
334,1272,7,3.848647356033325
335,1000,7,3.858842134475708
336,2296,8,3.8772122859954834
337,1072,7,3.8879191875457764
338,700,6,3.8968231678009033
339,1624,7,3.912520408630371
340,1056,7,3.9233484268188477
341,1380,7,3.9368550777435303
342,1160,7,3.9491240978240967
343,348,5,3.9557743072509766
344,832,6,3.965806245803833
345,572,6,3.9733283519744873
346,572,6,3.980748176574707
347,1180,7,3.99302339553833
348,1756,7,4.008828163146973
349,1484,7,4.023951292037964
350,1436,7,4.038440227508545
351,2132,8,4.0557801723480225
352,628,6,4.064120292663574
353,988,7,4.073718070983887
354,1072,7,4.084650278091431
355,720,6,4.0939531326293945
356,816,6,4.104139089584351
357,1360,7,4.117631435394287
358,1832,7,4.135504245758057
359,236,5,4.1397340297698975
360,1280,7,4.152270078659058
361,1496,7,4.166874170303345
362,680,6,4.175377368927002
363,1328,7,4.1885340213775635
364,820,6,4.198694229125977
365,1308,7,4.211836338043213
366,464,6,4.218130350112915
367,680,6,4.226501226425171
368,508,6,4.2337281703948975
369,764,6,4.243066310882568
370,1388,7,4.257142066955566
371,900,6,4.267644166946411
372,1524,7,4.282567262649536
373,2316,8,4.301289319992065
374,960,6,4.31239914894104
375,840,6,4.32184910774231
376,756,6,4.331037282943726
377,1356,7,4.344519376754761
378,1340,7,4.357449293136597
379,916,6,4.368375062942505
380,860,7,4.377009153366089
381,688,6,4.385740041732788
382,1320,7,4.3988213539123535
383,1184,7,4.410787105560303
384,872,7,4.419584035873413
385,744,6,4.428951263427734
386,732,6,4.437940359115601
387,892,7,4.44700026512146
388,1172,7,4.459135293960571
389,1164,7,4.470253229141235
390,592,6,4.478007078170776
391,1284,7,4.490551233291626
392,1200,7,4.5026891231536865
393,648,6,4.511327266693115
394,712,6,4.520381212234497
395,1352,7,4.533523321151733
396,476,6,4.540062427520752
397,1280,7,4.552927255630493
398,380,5,4.558815240859985
399,608,6,4.566323280334473
400,940,6,4.5767502784729
401,1648,7,4.592299222946167
402,1464,7,4.607078313827515
403,884,6,4.617353439331055
404,1052,7,4.628117322921753
405,1264,7,4.640304327011108
406,348,5,4.6460862159729
407,408,5,4.65254020690918
408,700,6,4.661555290222168
409,612,6,4.669499158859253
410,1152,7,4.681429386138916
411,1552,7,4.696165323257446
412,1640,7,4.712236166000366
413,1408,7,4.726245164871216
414,1308,7,4.738982200622559
415,800,6,4.748682260513306
416,684,6,4.7574462890625
417,1272,7,4.7702484130859375
418,1244,7,4.782404184341431
419,536,6,4.789448261260986
420,764,6,4.798791170120239
421,1240,7,4.811115026473999
422,1248,7,4.824170351028442
423,1360,7,4.837513446807861
424,1032,7,4.84800124168396
425,1680,7,4.864621162414551
426,1620,7,4.880207300186157
427,1272,7,4.892977237701416
428,912,6,4.903377294540405
429,2960,8,4.927347421646118
430,1308,7,4.940120220184326
431,1572,7,4.95517635345459
432,876,6,4.965165138244629
433,1336,7,4.978095293045044
434,1920,7,4.994892120361328
435,1300,7,5.007894039154053
436,1504,7,5.023296117782593
437,1084,6,5.035605430603027
438,576,6,5.043139219284058
439,392,5,5.049330234527588
440,1248,7,5.062096357345581
441,1496,7,5.076328277587891
442,2040,8,5.092922210693359
443,600,6,5.100947380065918
444,324,5,5.106258392333984
445,1552,7,5.121447324752808
446,1008,7,5.1316752433776855
447,1084,7,5.1428163051605225
448,1288,7,5.155355215072632
449,588,6,5.162968158721924
450,1328,7,5.176011085510254
451,1600,7,5.190148115158081
452,904,6,5.201068162918091
453,628,6,5.209380149841309
454,368,5,5.215044260025024
455,1440,7,5.229709148406982
456,1296,7,5.24281120300293
457,748,6,5.251859426498413
458,2488,8,5.272517204284668
459,1084,7,5.283409357070923
460,1312,7,5.296278238296509
461,576,6,5.303816318511963
462,672,6,5.312519311904907
463,596,6,5.320083379745483
464,576,6,5.327624320983887
465,916,7,5.337206125259399
466,1956,7,5.3551061153411865
467,1292,7,5.367617130279541
468,740,6,5.376972198486328
