episode,score,max_tile,time
1,3680,8,0.05913114547729492
2,1792,7,0.09183883666992188
3,3412,8,0.14168906211853027
4,5312,9,0.20882391929626465
5,3292,8,0.25845980644226074
6,1852,7,0.2923729419708252
7,3368,8,0.34241294860839844
8,1552,7,0.371121883392334
9,708,6,0.38771891593933105
10,5864,9,0.4646468162536621
11,3672,8,0.518251895904541
12,6708,9,0.6000890731811523
13,3232,8,0.6492798328399658
14,3804,8,0.7052719593048096
15,1588,7,0.7336277961730957
16,4928,8,0.8037197589874268
17,1188,7,0.8269329071044922
18,2088,7,0.8644757270812988
19,1564,7,0.892157793045044
20,1400,7,0.9181427955627441
21,1700,7,0.9487369060516357
22,3940,8,1.005504846572876
23,3224,8,1.0522098541259766
24,692,6,1.0683367252349854
25,2848,8,1.1120469570159912
26,2124,7,1.1508238315582275
27,3020,8,1.1943638324737549
28,2684,8,1.235374927520752
29,3104,8,1.2813360691070557
30,1672,7,1.3117928504943848
31,1564,7,1.3415138721466064
32,2836,8,1.3871128559112549
33,3372,8,1.437208890914917
34,2812,8,1.4794096946716309
35,4216,8,1.5412180423736572
36,904,6,1.5620369911193848
37,3204,8,1.610529899597168
38,3176,8,1.65789794921875
39,3384,8,1.7075588703155518
40,2432,7,1.7477810382843018
41,4340,8,1.8122999668121338
42,5896,9,1.8864150047302246
43,3316,8,1.9337687492370605
44,3080,8,1.9791247844696045
45,1824,7,2.0102760791778564
46,3572,8,2.064896821975708
47,3312,8,2.1129188537597656
48,1476,7,2.1815848350524902
49,3336,8,2.2358927726745605
50,5656,9,2.309307098388672
51,1992,7,2.34617280960083
52,2628,8,2.387209892272949
53,2060,7,2.424860715866089
54,1120,6,2.4494969844818115
55,3512,8,2.5039470195770264
56,1436,7,2.532360792160034
57,1680,7,2.5640270709991455
58,1252,6,2.591679811477661
59,3716,8,2.647134780883789
60,1952,7,2.682446002960205
61,1756,7,2.714089870452881
62,1932,7,2.7475969791412354
63,3744,8,2.8035058975219727
64,3272,8,2.853295087814331
65,2592,8,2.8948569297790527
66,3240,8,2.943988800048828
67,3912,8,3.001823902130127
68,4016,8,3.0586578845977783
